,match,team,start_time,end_time,player_ids,xG_conceded,opp_possession
619,3764237,Manchester United,45.0,,"[31536, 31533]",0.0,0.0
620,3775654,Bristol City WFC,0.0,,"[16381, 36799]",0.0,0.0
621,2275086,Arsenal WFC,0.0,8.0,"[17524, 18999]",0.44310536,114.264337
622,2275086,Arsenal WFC,8.0,,[18999],0.0,0.0
623,3764234,Aston Villa,0.0,67.0,"[46534, 46535]",2.300618242,1691.458723149
624,3764234,Aston Villa,67.0,,"[46535, 46541]",0.0,0.0
625,3775634,Everton LFC,0.0,,"[15789, 18254]",0.0,0.0
626,3775638,Tottenham Hotspur Women,0.0,,"[4648, 5074]",0.0,0.0
627,19778,Manchester City WFC,0.0,,"[10185, 17524]",0.0,0.0
628,19753,Bristol City WFC,0.0,,"[10171, 16383]",0.0,0.0
629,2275091,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
630,3775596,Manchester City WFC,0.0,,"[5081, 10252]",0.0,0.0
631,2275085,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
632,2275051,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
633,2275102,Reading WFC,0.0,,"[15720, 31628]",0.0,0.0
634,2275102,Reading WFC,71.0,,"[31628, 10198]",0.0,0.0
635,3775601,Manchester United,0.0,,"[31533, 31536]",0.0,0.0
636,3775540,Bristol City WFC,0.0,71.0,"[16381, 19502]",0.9668934,1115.368886034
637,3775540,Bristol City WFC,71.0,,"[16381, 19502]",0.0,0.0
638,3775554,Everton LFC,0.0,,"[15789, 18254]",0.0,0.0
639,3775548,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
640,2275036,Everton LFC,0.0,,"[15575, 18254]",0.0,0.0
641,3775548,Arsenal WFC,0.0,,"[18999, 49697]",0.0,0.0
642,3775571,Reading WFC,0.0,,"[20061, 21021]",0.0,0.0
643,19715,Bristol City WFC,0.0,,"[10171, 16383]",0.0,0.0
644,19769,West Ham United LFC,0.0,,"[18151, 18159]",0.0,0.0
645,19717,Liverpool WFC,0.0,45.0,"[15614, 15618, 15622]",2.0669824219999997,1029.58212402
646,19717,Liverpool WFC,45.0,,"[15614, 15618, 15622]",0.0,0.0
647,3775593,Reading WFC,0.0,,"[20061, 21021]",0.0,0.0
648,2275044,Arsenal WFC,0.0,,"[17524, 18999]",0.0,0.0
649,19811,Everton LFC,0.0,,"[15572, 18254]",0.0,0.0
650,19791,Reading WFC,0.0,,"[10198, 21021]",0.0,0.0
651,19714,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
652,2275036,Reading WFC,0.0,,"[10198, 21021]",0.0,0.0
653,2275051,Everton LFC,0.0,,"[10651, 15575]",0.0,0.0
654,19792,Yeovil Town LFC,0.0,,"[15715, 15717]",0.0,0.0
655,3775556,Aston Villa,0.0,20.0,"[46534, 46535]",0.09356236600000001,446.615462015
656,3775556,Aston Villa,20.0,,[46535],0.0,0.0
657,2275041,Bristol City WFC,0.0,,"[15618, 19502]",0.0,0.0
658,2275041,Bristol City WFC,67.0,69.0,"[15618, 31527]",0.0,16.735649
659,2275041,Bristol City WFC,69.0,,[15618],0.0,0.0
660,19770,Arsenal WFC,0.0,,"[15621, 18999]",0.0,0.0
661,2275138,Manchester United,0.0,,"[4648, 31536]",0.0,0.0
662,19744,Arsenal WFC,0.0,,"[15621, 18998, 18999]",0.0,0.0
663,19744,Arsenal WFC,64.0,,"[15621, 18999, 15612]",0.0,0.0
664,3775595,Bristol City WFC,0.0,,"[15618, 16381]",0.0,0.0
665,19739,Manchester City WFC,0.0,37.0,"[10185, 17524]",0.037175361000000004,364.110054104
666,19739,Manchester City WFC,37.0,,[17524],0.0,0.0
667,3775588,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
668,3775588,Brighton & Hove Albion WFC,78.0,,[16383],0.0,0.0
669,19760,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
670,19760,Chelsea FCW,70.0,,"[4633, 20061]",0.0,0.0
671,3775617,Manchester United,0.0,,"[4636, 31536]",0.0,0.0
672,2275144,Manchester United,0.0,,"[4648, 31536]",0.0,0.0
673,3775626,Aston Villa,0.0,,"[4657, 46535]",0.0,0.0
674,3775626,Aston Villa,45.0,,[4657],0.0,0.0
675,3775621,Bristol City WFC,0.0,10.0,"[16381, 46741]",0.138440792,220.494699003
676,3775621,Bristol City WFC,10.0,60.0,[46741],2.260922254,1214.4732701399998
677,3775621,Bristol City WFC,60.0,,[],0.0,0.0
678,19734,Everton LFC,0.0,,"[15574, 15575, 18254]",0.0,0.0
679,2275085,Tottenham Hotspur Women,0.0,,"[31552, 31703]",0.0,0.0
680,3764238,West Ham United LFC,0.0,47.0,"[18151, 31556]",3.152408724,870.458360005
681,3764238,West Ham United LFC,47.0,,[31556],0.0,0.0
682,2275073,Everton LFC,0.0,,"[15575, 18254]",0.0,0.0
683,3775606,Chelsea FCW,0.0,,"[4642, 15549]",0.0,0.0
684,3775605,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
685,3775605,Chelsea FCW,76.0,,"[4633, 15549]",0.0,0.0
686,19807,Manchester City WFC,0.0,,"[10185, 17524]",0.0,0.0
687,2275061,Bristol City WFC,0.0,,"[15618, 19502]",0.0,0.0
688,3764234,Manchester City WFC,0.0,,"[10185, 15554]",0.0,0.0
689,19766,Arsenal WFC,0.0,,"[15621, 18999]",0.0,0.0
690,3775579,Brighton & Hove Albion WFC,0.0,,"[16383, 22337]",0.0,0.0
691,3775579,Brighton & Hove Albion WFC,45.0,,[16383],0.0,0.0
692,3775568,Birmingham City WFC,0.0,,"[15574, 19592]",0.0,0.0
693,3775568,Birmingham City WFC,50.0,,[15574],0.0,0.0
694,2275040,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
695,19728,Manchester City WFC,0.0,,"[10185, 17524]",0.0,0.0
696,3775594,Manchester United,0.0,,"[31533, 31536]",0.0,0.0
697,2275041,Everton LFC,0.0,,"[15575, 18254]",0.0,0.0
698,2275097,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
699,3775576,Manchester City WFC,0.0,,"[5081, 10252]",0.0,0.0
700,3775564,Reading WFC,0.0,50.0,"[20061, 21021, 31628]",1.120302272,1437.0399650079999
701,3775564,Reading WFC,50.0,,"[21021, 31628]",0.0,0.0
702,3775558,Manchester United,0.0,,"[31533, 31536]",0.0,0.0
703,19805,West Ham United LFC,0.0,,"[18151, 18159]",0.0,0.0
704,3775570,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
705,3775627,Arsenal WFC,0.0,,"[18999, 49697]",0.0,0.0
706,19810,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
707,3775641,Birmingham City WFC,0.0,,"[4984, 15574]",0.0,0.0
708,3775547,Birmingham City WFC,0.0,,"[15574, 32169, 41812]",0.0,0.0
709,3775547,Birmingham City WFC,45.0,,"[15574, 41812]",0.0,0.0
